,10^16,10^17,10^18,10^19,10^20,10^21,10^22,10^23,10^24,10^25,10^26,10^27,10^28,10^29,10^30,10^31,10^32,10^33
200,12.01954825,12.01954825,99.91953759,99.9402624,99.94275211,99.94300712,99.94303269,99.94303525,99.9430355,99.94303553,99.94303553,99.94303553,99.94303553,99.94303553,99.94303553,99.94303553,99.94303553,99.94303553
250,51.14179108,50.39019659,50.13625006,50.06700657,50.05533785,50.05402935,50.05389672,50.05388344,50.05388211,50.05388198,50.05388197,50.05388196,50.05388196,50.05388196,50.05388196,50.05388196,50.05388196,50.05388196
300,23.86800604,16.88697051,10.78934809,5.956943607,2.732427237,1.050091342,0.362695065,0.12750913,0.06349318,0.052808527,0.052785056,0.051494412,0.051482308,0.051481098,0.051480976,0.051480963,0.051480963,0.051480963
350,15.32829093,6.604374059,-1.945211709,-10.26817699,-18.28801529,-25.88923056,-32.89324169,-39.0257368,-43.90680921,-47.1870893,-48.91360902,-49.62423091,-49.86910029,-49.93719039,-49.94897822,-49.95031462,-49.95045029,-49.95046387
400,10.91025894,1.707124823,-7.432949621,-16.49822957,-25.47364207,-34.33941298,-43.06902412,-51.62600208,-59.9587258,-67.991807,-75.61158926,-82.64244112,-88.81421351,-93.75002566,-97.09361216,-98.8710351,-99.608706,-99.86474397
450,7.991230631,-1.420015238,-10.80027343,-20.14540345,-29.45045967,-38.70943642,-47.91495585,-57.05783368,-66.12646434,-75.10593122,-83.97668727,-92.71254531,-101.2775272,-109.620776,-117.668118,-125.3078673,-132.3675542,-138.5815335
500,5.826375031,-3.697908609,-13.20421092,-22.69065311,-32.15509257,-41.59503925,-51.00757937,-60.38927688,-69.73604515,-79.04297746,-88.3041201,-97.51216342,-106.6580138,-115.730188,-124.7139387,-133.589958,-142.3324056,-150.9058219
550,4.109959217,-5.484152139,-15.06669462,-24.63667129,-34.19298381,-43.73439083,-53.25948302,-62.7666523,-72.25405389,-81.71955883,-91.16069441,-100.5745683,-109.9577711,-119.3062494,-128.6151389,-137.87854,-147.089214,-156.238161
600,2.688620603,-6.952383463,-16.58540245,-26.20984796,-35.82509022,-45.43043107,-55.0250939,-64.60821191,-74.17881397,-83.73580769,-93.27795899,-102.8038672,-112.3119345,-121.8003285,-131.2669351,-140.7092996,-150.1245518,-159.5093096
650,1.47513175,-8.199266889,-17.86786596,-27.5302903,-37.18614882,-46.83501407,-56.47641751,-66.10984436,-75.73472742,-85.35043998,-94.95628738,-104.5514971,-114.1352072,-123.706452,-133.2641455,-142.8070612,-152.3338074,-161.8427967
700,0.415405959,-9.283834057,-18.97869577,-28.66892549,-38.35426542,-48.03443682,-57.70913758,-67.3780396,-77.04078587,-86.69698707,-96.34621762,-105.9880112,-115.6218554,-125.247186,-134.8633794,-144.4697446,-154.0655134,-163.6498285
750,-0.526280858,-10.24463284,-19.95957755,-29.67093531,-39.37852813,-49.08216518,-58.78164145,-68.47673631,-78.167212,-87.8528118,-97.53325808,-107.20825,-116.8774608,-126.5405351,-136.1970854,-145.846688,-155.4888789,-165.1231482
800,-1.37469185,-11.10814783,-20.83888642,-30.56677554,-40.29168764,-50.01348694,-59.73202856,-69.44715777,-79.15870905,-88.86650512,-98.57035585,-108.270057,-117.9653888,-127.6561144,-137.3419782,-147.0227036,-156.6979912,-166.3675156
